epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.368,2.09069,12.2681,1.52805,0,0,0,0,2.51142,4.63942,1.4137,0.000115,0.000115,0.000115
2,28.1007,1.34622,5.15808,1.02851,0.96875,0.29245,0.63524,0.54281,1.84158,4.29067,0.94513,0.000233449,0.000233449,0.000233449
3,39.0058,1.33557,5.01294,0.8874,0.12412,0.5,0.49725,0.38787,1.5126,3.36555,0.8606,0.000350314,0.000350314,0.000350314
4,49.7235,1.4102,3.89415,0.92123,0.97662,0.39419,0.7495,0.43799,1.64843,2.42089,0.88545,0.000465595,0.000465595,0.000465595
5,62.5768,1.10223,3.10759,0.84569,0.96782,0.5674,0.78437,0.47756,1.64621,1.80895,0.89732,0.0004868,0.0004868,0.0004868
6,73.5217,1.2508,3.06623,0.91702,0.96933,0.5963,0.83085,0.52197,1.49943,1.5234,0.86718,0.0004835,0.0004835,0.0004835
7,84.2296,1.08676,2.51713,0.8833,0.91131,0.67852,0.83435,0.53768,1.40364,1.1772,0.86675,0.0004802,0.0004802,0.0004802
8,96.3857,1.24667,3.09802,0.88063,0.97381,0.81132,0.88523,0.55202,1.3776,0.93894,0.84708,0.0004769,0.0004769,0.0004769
9,107.117,1.00236,2.49451,0.83941,0.96261,0.78302,0.871,0.55578,1.32078,0.86438,0.85566,0.0004736,0.0004736,0.0004736
10,118.068,0.985,2.64463,0.82696,0.92385,0.8012,0.86539,0.53476,1.33149,0.87917,0.88108,0.0004703,0.0004703,0.0004703
11,130.361,1.05785,2.56488,0.84489,0.90939,0.90566,0.91452,0.57104,1.32753,0.88603,0.8962,0.000467,0.000467,0.000467
12,141.111,0.98952,2.43859,0.82859,0.91052,0.88679,0.92021,0.54722,1.35995,0.8352,0.89474,0.0004637,0.0004637,0.0004637
13,152.011,1.04748,2.19271,0.89682,0.93934,0.8766,0.9216,0.57453,1.38663,0.83338,0.93103,0.0004604,0.0004604,0.0004604
14,164.236,1.04376,2.34192,0.87238,0.84543,0.89623,0.91399,0.55749,1.37835,0.84462,0.9046,0.0004571,0.0004571,0.0004571
