epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,175.432,1.0478,2.23862,0.84399,0.94377,0.85849,0.93952,0.58218,1.27884,0.81581,0.89036,0.0004538,0.0004538,0.0004538
16,187.229,1.04061,2.06539,0.87163,0.95079,0.91144,0.94925,0.58666,1.33278,0.76673,0.89651,0.0004505,0.0004505,0.0004505
17,200.177,0.99298,2.07102,0.87494,0.96319,0.87736,0.93622,0.61174,1.30463,0.77399,0.88002,0.0004472,0.0004472,0.0004472
18,211.772,0.83211,1.9444,0.81019,1,0.90467,0.96442,0.62519,1.25222,0.65662,0.88034,0.0004439,0.0004439,0.0004439
19,225.375,0.95421,2.1388,0.83667,0.96869,0.87565,0.92464,0.60363,1.31478,0.73404,0.89493,0.0004406,0.0004406,0.0004406
20,237.238,1.03648,2.24292,0.86439,0.9787,0.91509,0.95516,0.62014,1.26424,0.73503,0.89587,0.0004373,0.0004373,0.0004373
21,248.495,0.97903,2.00577,0.85754,0.96977,0.90796,0.94591,0.61504,1.30479,0.73607,0.90153,0.000434,0.000434,0.000434
22,261.575,0.97137,1.77285,0.89349,0.92447,0.88679,0.9269,0.61805,1.29784,0.73813,0.8953,0.0004307,0.0004307,0.0004307
23,273.484,0.95466,2.13708,0.84243,0.93242,0.91123,0.94616,0.58866,1.30395,0.72397,0.88079,0.0004274,0.0004274,0.0004274
24,284.974,1.04749,1.94175,0.86081,0.95427,0.93396,0.96824,0.62612,1.27965,0.68995,0.87782,0.0004241,0.0004241,0.0004241
25,297.882,0.96164,1.90878,0.84988,0.95093,0.91403,0.94579,0.62905,1.33731,0.71125,0.87729,0.0004208,0.0004208,0.0004208
26,309.299,0.96724,1.79565,0.86503,0.97959,0.90545,0.95484,0.61751,1.2956,0.72783,0.87786,0.0004175,0.0004175,0.0004175
27,320.655,1.05006,1.86741,0.88981,0.95975,0.89986,0.94546,0.64315,1.23789,0.70812,0.87708,0.0004142,0.0004142,0.0004142
28,333.687,0.992,1.77645,0.87276,0.96103,0.93053,0.95661,0.61768,1.2567,0.70361,0.88305,0.0004109,0.0004109,0.0004109
29,345.143,0.96123,1.49743,0.83932,0.97743,0.93396,0.9663,0.62455,1.27834,0.68901,0.89523,0.0004076,0.0004076,0.0004076
30,358.201,0.95467,1.52739,0.87228,0.9802,0.93382,0.96721,0.64979,1.2387,0.6867,0.89558,0.0004043,0.0004043,0.0004043
31,369.713,0.98236,1.58824,0.84738,0.95032,0.90228,0.9547,0.63553,1.25485,0.71139,0.89674,0.000401,0.000401,0.000401
32,381.015,1.05639,1.87618,0.87213,0.94212,0.92131,0.96246,0.65806,1.25037,0.69798,0.89878,0.0003977,0.0003977,0.0003977
33,394.011,0.86465,1.43104,0.83163,0.93614,0.89623,0.92962,0.64417,1.28413,0.62675,0.90424,0.0003944,0.0003944,0.0003944
34,405.112,0.96197,1.55016,0.85647,0.95186,0.92453,0.94695,0.6322,1.21669,0.62987,0.89608,0.0003911,0.0003911,0.0003911
35,416.526,0.87018,1.29177,0.82584,0.95592,0.92453,0.95065,0.63888,1.2276,0.64646,0.89761,0.0003878,0.0003878,0.0003878
36,429.939,0.83606,1.44698,0.82681,0.95177,0.93089,0.94401,0.61461,1.28067,0.68635,0.89837,0.0003845,0.0003845,0.0003845
37,440.97,0.87057,1.44738,0.81782,0.95542,0.92453,0.95585,0.65635,1.21213,0.64665,0.89389,0.0003812,0.0003812,0.0003812
38,452.393,0.91026,1.41325,0.85186,0.95928,0.9434,0.96158,0.64923,1.23611,0.64148,0.88561,0.0003779,0.0003779,0.0003779
39,465.413,0.87098,1.2954,0.84734,0.97107,0.95005,0.97619,0.63332,1.30362,0.62882,0.88513,0.0003746,0.0003746,0.0003746
40,476.576,0.96696,1.3425,0.84461,0.95063,0.90833,0.95261,0.65188,1.28162,0.614,0.88808,0.0003713,0.0003713,0.0003713
41,488.034,0.877,1.21019,0.83962,0.9418,0.91596,0.95715,0.66682,1.27581,0.62514,0.89205,0.000368,0.000368,0.000368
42,501.401,0.94079,1.41515,0.86084,0.97077,0.94,0.97852,0.64897,1.28763,0.61394,0.89333,0.0003647,0.0003647,0.0003647
43,512.934,0.87378,1.35464,0.80913,0.96075,0.92364,0.95103,0.65897,1.26045,0.62615,0.89604,0.0003614,0.0003614,0.0003614
44,524.32,0.82338,1.22905,0.79408,0.96038,0.91471,0.95218,0.65657,1.2311,0.62545,0.8861,0.0003581,0.0003581,0.0003581
45,537.909,0.88038,1.09893,0.85044,0.93595,0.90566,0.95122,0.62065,1.26548,0.62654,0.88679,0.0003548,0.0003548,0.0003548
46,548.956,0.86357,1.27053,0.78821,0.89896,0.92453,0.93414,0.63658,1.18904,0.63488,0.88527,0.0003515,0.0003515,0.0003515
47,560.539,0.90478,1.21847,0.84946,0.92543,0.93658,0.96469,0.65055,1.21611,0.66307,0.88912,0.0003482,0.0003482,0.0003482
48,574.201,0.84643,1.09273,0.8418,0.94411,0.93396,0.97686,0.65852,1.20946,0.65014,0.88958,0.0003449,0.0003449,0.0003449
49,584.906,0.85876,1.14946,0.83285,0.97034,0.92603,0.97549,0.66852,1.21047,0.62184,0.88859,0.0003416,0.0003416,0.0003416
50,598.451,0.84707,1.11424,0.84466,0.96618,0.93396,0.97424,0.67406,1.23279,0.60777,0.88904,0.0003383,0.0003383,0.0003383
51,609.736,0.79256,1.13585,0.80314,0.96844,0.93396,0.97193,0.67909,1.18257,0.61185,0.8856,0.000335,0.000335,0.000335
52,620.648,0.81714,1.02306,0.81209,0.96971,0.93396,0.97277,0.66388,1.23977,0.6259,0.89029,0.0003317,0.0003317,0.0003317
53,634.375,0.81389,0.98335,0.82791,0.94174,0.91509,0.95284,0.63799,1.31718,0.64477,0.89471,0.0003284,0.0003284,0.0003284
54,645.536,0.88241,1.1396,0.84829,0.95977,0.93396,0.97587,0.6861,1.16336,0.6104,0.88354,0.0003251,0.0003251,0.0003251
55,656.863,0.83119,1.00993,0.83302,0.94268,0.93092,0.96518,0.67619,1.16234,0.63623,0.88278,0.0003218,0.0003218,0.0003218
56,670.569,0.91654,1.14191,0.81806,0.89983,0.92453,0.93291,0.66551,1.23252,0.64505,0.87931,0.0003185,0.0003185,0.0003185
57,681.729,0.87432,1.05448,0.85734,0.97026,0.92339,0.96241,0.68224,1.16533,0.61296,0.87162,0.0003152,0.0003152,0.0003152
58,692.746,0.84423,1.00316,0.84177,0.98046,0.94678,0.98445,0.68512,1.15559,0.60815,0.87292,0.0003119,0.0003119,0.0003119
59,706.287,0.81502,1.09538,0.82887,0.97024,0.9227,0.95564,0.65674,1.20282,0.61888,0.87736,0.0003086,0.0003086,0.0003086
60,717.317,0.84248,0.95976,0.82956,0.97,0.9434,0.97178,0.68007,1.18403,0.582,0.87674,0.0003053,0.0003053,0.0003053
61,728.643,0.81035,1.0063,0.82192,0.98054,0.95087,0.97932,0.68237,1.18624,0.60948,0.87719,0.000302,0.000302,0.000302
62,742.15,0.80452,0.85539,0.8179,0.95848,0.93396,0.96452,0.67735,1.197,0.61267,0.88364,0.0002987,0.0002987,0.0002987
63,753.08,0.83041,0.96813,0.83624,0.94716,0.93396,0.96582,0.68359,1.179,0.5978,0.87979,0.0002954,0.0002954,0.0002954
64,764.266,0.77266,0.84475,0.81781,0.95271,0.95025,0.97907,0.67988,1.17941,0.61607,0.8813,0.0002921,0.0002921,0.0002921
